epoch=0,train accuracy=0.028089888,test accuracy=0.02189781,train loss=3.4660704,test loss=3.4657552
epoch=2000,train accuracy=0.5152488,test accuracy=0.33576643,train loss=3.0132499,test loss=3.1784136
epoch=4000,train accuracy=0.5280899,test accuracy=0.35523114,train loss=2.9917479,test loss=3.1616318
epoch=6000,train accuracy=0.5329053,test accuracy=0.35036495,train loss=2.984048,test loss=3.163719
epoch=8000,train accuracy=0.535313,test accuracy=0.35523114,train loss=2.9804459,test loss=3.1634123
epoch=10000,train accuracy=0.5361156,test accuracy=0.35036495,train loss=2.9788349,test loss=3.1614354
epoch=12000,train accuracy=0.53691816,test accuracy=0.35279804,train loss=2.9773197,test loss=3.1592102
epoch=14000,train accuracy=0.56420547,test accuracy=0.36982968,train loss=2.9509118,test loss=3.1427248
epoch=16000,train accuracy=0.5658106,test accuracy=0.37956205,train loss=2.9488943,test loss=3.1369863
epoch=18000,train accuracy=0.5674157,test accuracy=0.37712896,train loss=2.9469297,test loss=3.1342971
epoch=20000,train accuracy=0.5674157,test accuracy=0.38199514,train loss=2.946576,test loss=3.1342664
epoch=22000,train accuracy=0.5939005,test accuracy=0.38929442,train loss=2.9205546,test loss=3.1222005
epoch=24000,train accuracy=0.5955056,test accuracy=0.38929442,train loss=2.9188182,test loss=3.1215794
epoch=26000,train accuracy=0.5963082,test accuracy=0.38686132,train loss=2.9182992,test loss=3.1217449
epoch=28000,train accuracy=0.59711075,test accuracy=0.38929442,train loss=2.9172745,test loss=3.1229534
epoch=30000,train accuracy=0.5979133,test accuracy=0.3917275,train loss=2.9163916,test loss=3.1224785
epoch=32000,train accuracy=0.6179775,test accuracy=0.40875912,train loss=2.8967807,test loss=3.1102247
epoch=34000,train accuracy=0.67817014,test accuracy=0.43552312,train loss=2.8390336,test loss=3.0803418
epoch=36000,train accuracy=0.68298554,test accuracy=0.44768855,train loss=2.8330138,test loss=3.0743515
epoch=38000,train accuracy=0.6837881,test accuracy=0.4452555,train loss=2.831783,test loss=3.0715172
epoch=40000,train accuracy=0.6853933,test accuracy=0.4428224,train loss=2.8302844,test loss=3.0694044
epoch=42000,train accuracy=0.68619585,test accuracy=0.4452555,train loss=2.8297224,test loss=3.0686698
epoch=44000,train accuracy=0.68780094,test accuracy=0.45012164,train loss=2.8280659,test loss=3.0669804
epoch=46000,train accuracy=0.6886035,test accuracy=0.45012164,train loss=2.827359,test loss=3.0661476
epoch=48000,train accuracy=0.6886035,test accuracy=0.44768855,train loss=2.8269424,test loss=3.0666633
epoch=50000,train accuracy=0.6886035,test accuracy=0.4452555,train loss=2.8267424,test loss=3.066885
epoch=52000,train accuracy=0.70947033,test accuracy=0.459854,train loss=2.8065648,test loss=3.056722
epoch=54000,train accuracy=0.71428573,test accuracy=0.459854,train loss=2.8012762,test loss=3.0580187
epoch=56000,train accuracy=0.717496,test accuracy=0.459854,train loss=2.7985048,test loss=3.0585032
epoch=58000,train accuracy=0.717496,test accuracy=0.459854,train loss=2.798287,test loss=3.0550268
epoch=60000,train accuracy=0.717496,test accuracy=0.4622871,train loss=2.7982094,test loss=3.053803
epoch=62000,train accuracy=0.717496,test accuracy=0.46715328,train loss=2.7981563,test loss=3.0539796
epoch=64000,train accuracy=0.717496,test accuracy=0.4647202,train loss=2.7980871,test loss=3.0527744
epoch=66000,train accuracy=0.717496,test accuracy=0.46715328,train loss=2.7980573,test loss=3.052564
epoch=68000,train accuracy=0.717496,test accuracy=0.46715328,train loss=2.7980216,test loss=3.052402
epoch=70000,train accuracy=0.717496,test accuracy=0.4647202,train loss=2.798022,test loss=3.0526
epoch=72000,train accuracy=0.717496,test accuracy=0.46715328,train loss=2.797977,test loss=3.0514705
epoch=74000,train accuracy=0.717496,test accuracy=0.46715328,train loss=2.7979515,test loss=3.0507953
epoch=76000,train accuracy=0.717496,test accuracy=0.46715328,train loss=2.797938,test loss=3.0515172
epoch=78000,train accuracy=0.717496,test accuracy=0.46715328,train loss=2.797892,test loss=3.0502288
epoch=80000,train accuracy=0.71829855,test accuracy=0.46715328,train loss=2.7973204,test loss=3.0501385
epoch=82000,train accuracy=0.71829855,test accuracy=0.46715328,train loss=2.7970922,test loss=3.0494986
epoch=84000,train accuracy=0.71829855,test accuracy=0.47201946,train loss=2.7970707,test loss=3.0482125
epoch=86000,train accuracy=0.71829855,test accuracy=0.47201946,train loss=2.7970748,test loss=3.0487056
epoch=88000,train accuracy=0.71829855,test accuracy=0.47201946,train loss=2.7970603,test loss=3.0480464
epoch=90000,train accuracy=0.71829855,test accuracy=0.46715328,train loss=2.7970362,test loss=3.048974
epoch=92000,train accuracy=0.71829855,test accuracy=0.47201946,train loss=2.7970252,test loss=3.0478647
epoch=94000,train accuracy=0.71829855,test accuracy=0.46958637,train loss=2.7970254,test loss=3.0489984
epoch=96000,train accuracy=0.71910113,test accuracy=0.46958637,train loss=2.796253,test loss=3.0491195
epoch=98000,train accuracy=0.71910113,test accuracy=0.47201946,train loss=2.7961993,test loss=3.0496042
epoch=100000,train accuracy=0.71910113,test accuracy=0.47201946,train loss=2.7961876,test loss=3.049393
epoch=102000,train accuracy=0.7199037,test accuracy=0.47201946,train loss=2.7954595,test loss=3.050211
epoch=104000,train accuracy=0.7199037,test accuracy=0.47201946,train loss=2.7953942,test loss=3.049968
epoch=106000,train accuracy=0.7199037,test accuracy=0.47201946,train loss=2.7953846,test loss=3.0498664
epoch=108000,train accuracy=0.7199037,test accuracy=0.47201946,train loss=2.7953632,test loss=3.0501144
epoch=110000,train accuracy=0.7199037,test accuracy=0.47201946,train loss=2.795367,test loss=3.0495899
epoch=112000,train accuracy=0.7199037,test accuracy=0.47201946,train loss=2.7953389,test loss=3.0505633
epoch=114000,train accuracy=0.7199037,test accuracy=0.46958637,train loss=2.7953482,test loss=3.0501838
epoch=116000,train accuracy=0.7207063,test accuracy=0.46958637,train loss=2.7946362,test loss=3.0494454
epoch=118000,train accuracy=0.7215088,test accuracy=0.47201946,train loss=2.7937286,test loss=3.0469751
epoch=120000,train accuracy=0.7223114,test accuracy=0.46958637,train loss=2.7934077,test loss=3.0490386
epoch=122000,train accuracy=0.72311395,test accuracy=0.47201946,train loss=2.792178,test loss=3.0484345
epoch=124000,train accuracy=0.72311395,test accuracy=0.47201946,train loss=2.792167,test loss=3.0491474
epoch=126000,train accuracy=0.72391653,test accuracy=0.47201946,train loss=2.7913883,test loss=3.0469491
epoch=128000,train accuracy=0.72391653,test accuracy=0.47445256,train loss=2.7913876,test loss=3.0466251
epoch=130000,train accuracy=0.72391653,test accuracy=0.47201946,train loss=2.791401,test loss=3.0466418
epoch=132000,train accuracy=0.72391653,test accuracy=0.47445256,train loss=2.7913475,test loss=3.0466611
epoch=134000,train accuracy=0.72391653,test accuracy=0.47201946,train loss=2.7913396,test loss=3.047758
epoch=136000,train accuracy=0.72391653,test accuracy=0.47445256,train loss=2.7913153,test loss=3.0462527
epoch=138000,train accuracy=0.72391653,test accuracy=0.47201946,train loss=2.7913153,test loss=3.0462618
epoch=140000,train accuracy=0.72391653,test accuracy=0.47201946,train loss=2.791227,test loss=3.0469697
epoch=142000,train accuracy=0.7447833,test accuracy=0.46715328,train loss=2.7709212,test loss=3.0454097
epoch=144000,train accuracy=0.74558586,test accuracy=0.46958637,train loss=2.7702765,test loss=3.0446875
epoch=146000,train accuracy=0.74638844,test accuracy=0.47201946,train loss=2.769011,test loss=3.0436351
epoch=148000,train accuracy=0.74959874,test accuracy=0.47201946,train loss=2.765918,test loss=3.0433772
epoch=150000,train accuracy=0.75120384,test accuracy=0.47445256,train loss=2.7645686,test loss=3.0467458
epoch=152000,train accuracy=0.752809,test accuracy=0.46958637,train loss=2.7628205,test loss=3.0464702
epoch=154000,train accuracy=0.77367574,test accuracy=0.47931874,train loss=2.7420032,test loss=3.0404186
epoch=156000,train accuracy=0.78089887,test accuracy=0.486618,train loss=2.7350922,test loss=3.0276918
epoch=158000,train accuracy=0.7833066,test accuracy=0.4914842,train loss=2.7329986,test loss=3.0261679
epoch=160000,train accuracy=0.7833066,test accuracy=0.49635038,train loss=2.732846,test loss=3.0263782
epoch=162000,train accuracy=0.7833066,test accuracy=0.49635038,train loss=2.7328072,test loss=3.0250113
epoch=164000,train accuracy=0.7841092,test accuracy=0.49635038,train loss=2.7321162,test loss=3.0225048
epoch=166000,train accuracy=0.7841092,test accuracy=0.49635038,train loss=2.7320378,test loss=3.022282
epoch=168000,train accuracy=0.7841092,test accuracy=0.4939173,train loss=2.7319415,test loss=3.0217998
epoch=170000,train accuracy=0.7849117,test accuracy=0.4939173,train loss=2.7315106,test loss=3.0212727
epoch=172000,train accuracy=0.7849117,test accuracy=0.49635038,train loss=2.7311587,test loss=3.0217698
epoch=174000,train accuracy=0.7849117,test accuracy=0.4939173,train loss=2.7311594,test loss=3.0200403
epoch=176000,train accuracy=0.7849117,test accuracy=0.50121653,train loss=2.7310972,test loss=3.0187194
epoch=178000,train accuracy=0.7849117,test accuracy=0.50121653,train loss=2.7311046,test loss=3.0179167
epoch=180000,train accuracy=0.78571427,test accuracy=0.50364965,train loss=2.7307317,test loss=3.016672
epoch=182000,train accuracy=0.78571427,test accuracy=0.50121653,train loss=2.7303283,test loss=3.0159488
epoch=184000,train accuracy=0.78571427,test accuracy=0.5060827,train loss=2.7303364,test loss=3.0150726
epoch=186000,train accuracy=0.78571427,test accuracy=0.50364965,train loss=2.730304,test loss=3.0166507
epoch=188000,train accuracy=0.78571427,test accuracy=0.5060827,train loss=2.7302792,test loss=3.016396
epoch=190000,train accuracy=0.78571427,test accuracy=0.50364965,train loss=2.7299957,test loss=3.0144918
epoch=192000,train accuracy=0.78651685,test accuracy=0.5060827,train loss=2.729478,test loss=3.0148127
epoch=194000,train accuracy=0.78651685,test accuracy=0.50364965,train loss=2.729437,test loss=3.0152009
epoch=196000,train accuracy=0.7873194,test accuracy=0.50851583,train loss=2.728682,test loss=3.0103035
epoch=198000,train accuracy=0.7873194,test accuracy=0.50851583,train loss=2.7287247,test loss=3.0087006
epoch=200000,train accuracy=0.7873194,test accuracy=0.50851583,train loss=2.7286894,test loss=3.0084667
epoch=202000,train accuracy=0.7873194,test accuracy=0.5060827,train loss=2.7287102,test loss=3.008881
epoch=204000,train accuracy=0.7873194,test accuracy=0.5109489,train loss=2.7286818,test loss=3.0079696
epoch=206000,train accuracy=0.7873194,test accuracy=0.5060827,train loss=2.7286656,test loss=3.007967
epoch=208000,train accuracy=0.7873194,test accuracy=0.5060827,train loss=2.7286217,test loss=3.0063052
epoch=210000,train accuracy=0.788122,test accuracy=0.5060827,train loss=2.7278504,test loss=3.0048256
epoch=212000,train accuracy=0.788122,test accuracy=0.5158151,train loss=2.7278352,test loss=3.0036037
epoch=214000,train accuracy=0.7889246,test accuracy=0.5158151,train loss=2.7273436,test loss=3.0034344
epoch=216000,train accuracy=0.7889246,test accuracy=0.5182482,train loss=2.7270942,test loss=3.0013344
epoch=218000,train accuracy=0.7889246,test accuracy=0.5158151,train loss=2.727004,test loss=3.0016112
epoch=220000,train accuracy=0.78972715,test accuracy=0.5231144,train loss=2.7262578,test loss=2.999521
epoch=222000,train accuracy=0.78972715,test accuracy=0.52068126,train loss=2.726213,test loss=2.9987044
epoch=224000,train accuracy=0.78972715,test accuracy=0.5109489,train loss=2.7262309,test loss=3.0007641
epoch=226000,train accuracy=0.78972715,test accuracy=0.5158151,train loss=2.7260978,test loss=2.9989626
epoch=228000,train accuracy=0.79052967,test accuracy=0.5158151,train loss=2.7255762,test loss=2.9996674
epoch=230000,train accuracy=0.79052967,test accuracy=0.5158151,train loss=2.7254896,test loss=3.0001216
epoch=232000,train accuracy=0.79052967,test accuracy=0.513382,train loss=2.7254395,test loss=2.9997823
epoch=234000,train accuracy=0.79052967,test accuracy=0.5158151,train loss=2.725463,test loss=2.99948
epoch=236000,train accuracy=0.79052967,test accuracy=0.5109489,train loss=2.7253401,test loss=3.0009625
epoch=238000,train accuracy=0.79133224,test accuracy=0.5182482,train loss=2.7244055,test loss=2.9999135
epoch=240000,train accuracy=0.79454255,test accuracy=0.52068126,train loss=2.7224262,test loss=2.9983974
epoch=242000,train accuracy=0.79454255,test accuracy=0.5182482,train loss=2.7217693,test loss=2.997999
epoch=244000,train accuracy=0.79454255,test accuracy=0.52068126,train loss=2.7216723,test loss=2.9980924
epoch=246000,train accuracy=0.79454255,test accuracy=0.52068126,train loss=2.7216065,test loss=2.997688
epoch=248000,train accuracy=0.79454255,test accuracy=0.52068126,train loss=2.7212832,test loss=2.9972754
epoch=250000,train accuracy=0.7953451,test accuracy=0.5182482,train loss=2.7207394,test loss=2.9982994
epoch=252000,train accuracy=0.7953451,test accuracy=0.5158151,train loss=2.7207053,test loss=2.997868
epoch=254000,train accuracy=0.7953451,test accuracy=0.5158151,train loss=2.720672,test loss=2.9979026
epoch=256000,train accuracy=0.7953451,test accuracy=0.5158151,train loss=2.7206783,test loss=2.9986894
